id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8580756,Home in Florence · ★4.89 · 3 bedrooms · 1 bed · 1.5 shared baths,45159659,Tina,,Centro Storico,43.77692,11.25596,Private room,75,2,365,2023-09-11,3.90,8,132,77,
8589104,Home in Florence · ★4.87 · 2 bedrooms · 2 beds · 2 baths,42582678,Donella,,Centro Storico,43.7833,11.23956,Entire home/apt,101,2,347,2023-09-09,3.64,2,251,57,
8589634,Rental unit in Florence · 1 bedroom · 2 beds · 1 bath,6850319,Martina,,Rifredi,43.79381,11.24437,Entire home/apt,48,2,0,,,1,0,0,
8594773,Condo in Florence · ★4.96 · 1 bedroom · 2 beds · 1 bath,7569800,Sofia,,Campo di Marte,43.78057,11.27897,Entire home/apt,150,3,94,2023-07-18,0.98,1,250,22,
8601120,Rental unit in Florence · ★4.78 · 2 bedrooms · 5 beds · 2 baths,45259677,Lorenzo,,Centro Storico,43.78617,11.24023,Entire home/apt,120,5,23,2023-06-26,0.39,1,336,12,
8601157,Loft in Florence · ★4.88 · 1 bedroom · 1 bed · 1 bath,35617367,Marco,,Campo di Marte,43.80907,11.27316,Entire home/apt,88,2,618,2023-08-30,6.43,2,220,87,
8605134,Rental unit in Florence · ★4.48 · 2 bedrooms · 2 beds · 1.5 baths,16185279,Leonardo,,Centro Storico,43.77836,11.25302,Entire home/apt,246,2,70,2023-07-09,0.75,25,25,6,
8608989,Rental unit in Florence · ★4.80 · 1 bedroom · 1 bath,28273577,Eleonora,,Centro Storico,43.76991,11.25876,Entire home/apt,160,2,124,2023-07-24,1.28,3,323,7,
8626824,Condo in Florence · ★4.75 · 1 bedroom · 1 bed · 1 bath,1678042,Cosimo,,Centro Storico,43.767841,11.249672,Entire home/apt,75,2,5,2019-05-30,0.06,5,246,0,048017LTN5522
8628579,Rental unit in Florence · ★4.25 · 1 bedroom · 2 beds · 1 bath,1450696,ItalyPerfect,,Centro Storico,43.77724,11.25569,Entire home/apt,121,7,4,2019-04-23,0.05,16,0,0,
8641356,Rental unit in Florence · ★4.78 · 1 bedroom · 1 bed · 1 bath,8908604,Uma & Tina,,Centro Storico,43.76646,11.24606,Entire home/apt,90,5,227,2023-09-05,2.50,2,338,21,
8644242,Rental unit in Florence · ★4.89 · 1 bedroom · 1 bed · 1 bath,45441349,Michele,,Centro Storico,43.77541,11.24429,Entire home/apt,115,2,331,2023-09-12,3.43,1,137,62,
8687565,Rental unit in Florence · ★4.96 · 1 bedroom · 1 bed · 1 bath,33288593,Eleonora,,Rifredi,43.78603,11.26195,Entire home/apt,85,4,23,2023-09-11,0.36,2,0,2,
8694977,Rental unit in Florence · ★4.90 · 1 bedroom · 1 bed · 1 bath,33288593,Eleonora,,Rifredi,43.78794,11.26204,Entire home/apt,120,7,10,2023-08-23,0.14,2,0,2,
8726577,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,3506247,Andresa,,Campo di Marte,43.76955,11.27388,Entire home/apt,50,21,0,,,1,0,0,
8729382,Condo in Florence · ★4.80 · 1 bedroom · 1 bed · 1 bath,45807739,Silvia,,Centro Storico,43.7809,11.2369,Entire home/apt,92,2,228,2023-08-17,2.39,1,76,28,
8731074,Rental unit in Florence · ★4.72 · 1 bedroom · 1 bed · 1 bath,2088209,Giulietta,,Campo di Marte,43.77703,11.28914,Entire home/apt,50,4,39,2022-10-11,0.42,1,36,1,
8749645,Condo in Florence · ★4.88 · 2 bedrooms · 2 beds · 1 bath,27301196,Vanessa,,Centro Storico,43.76281,11.23879,Entire home/apt,135,4,59,2019-10-25,0.65,1,22,0,
8754492,Rental unit in Florence · ★4.79 · 2 bedrooms · 2 beds · 1 bath,44449670,Ilse,,Centro Storico,43.76928,11.26174,Entire home/apt,99,4,38,2023-08-25,0.44,2,186,6,
8767290,Rental unit in Florence · ★4.84 · 2 bedrooms · 3 beds · 1 bath,33839628,Maurizio,,Centro Storico,43.76822,11.25594,Entire home/apt,259,2,358,2023-08-26,3.81,6,38,58,
8770245,Home in Florence · 1 bedroom · 1 bed · 1 bath,45979955,Moon,,Centro Storico,43.78916,11.23022,Private room,50,1,0,,,1,0,0,
8772378,Condo in Florence · ★4.59 · 2 bedrooms · 2 beds · 2 baths,45293951,Alfonso,,Centro Storico,43.76562,11.24403,Entire home/apt,186,2,120,2023-09-10,1.28,1,329,20,
8806009,Rental unit in Florence · 2 bedrooms · 2 beds · 2 baths,4293853,Gilles,,Campo di Marte,43.78263,11.28282,Entire home/apt,90,1,0,,,1,0,0,
8807294,Rental unit in Florence · ★4.66 · 2 bedrooms · 3 beds · 2 baths,380378,Officina 360,,Centro Storico,43.76761,11.25228,Entire home/apt,583,1,78,2023-08-06,0.83,30,348,7,
